iter	Passed	Remaining
434	65348	39809
435	65378	39586
436	65412	39367
437	65456	39154
438	65502	38943
439	65616	38773
440	65703	38588
441	65830	38426
442	65947	38258
443	66061	38089
444	66207	37938
445	66354	37789
446	66463	37617
447	66552	37435
448	66622	37243
449	66719	37066
450	66868	36918
451	66986	36753
452	67086	36579
453	67205	36415
454	67404	36294
455	67443	36088
456	67538	35912
457	67640	35740
458	67734	35564
459	67810	35379
460	67890	35197
461	67931	34995
462	68050	34833
463	68157	34666
464	68238	34486
465	68328	34311
466	68401	34127
467	68523	33968
468	68642	33808
469	68755	33646
470	68859	33479
471	68947	33305
472	69048	33137
473	69160	32975
474	69239	32797
475	69340	32630
476	69404	32447
477	69516	32285
478	69600	32112
479	69691	31941
480	69792	31776
481	69869	31600
482	69991	31445
483	70063	31267
484	70137	31091
485	70209	30915
486	70360	30773
487	70454	30607
488	70554	30443
489	70631	30270
490	70774	30125
491	70874	29963
492	71048	29831
493	71222	29699
494	71289	29524
495	71380	29358
496	71406	29165
497	71430	28973
498	71508	28804
499	71605	28642
500	71703	28481
501	71834	28333
502	71922	28168
503	72058	28022
504	72141	27856
505	72239	27696
506	72358	27544
507	72450	27382
508	72517	27211
509	72573	27037
510	72657	26873
511	72738	26708
512	72832	26549
513	72969	26405
514	73139	26273
515	73206	26104
516	73319	25952
517	73445	25805
518	73546	25649
519	73700	25511
520	73873	25380
521	74028	25243
522	74127	25086
523	74349	24972
524	74503	24834
525	74679	24704
526	74832	24565
527	74960	24418
528	75070	24266
529	75162	24108
530	75301	23966
531	75386	23806
532	75480	23649
533	75608	23503
534	75687	23342
535	75796	23191
536	75894	23036
537	75992	22882
538	76094	22729
539	76172	22569
540	76367	22444
541	76463	22290
542	76624	22154
543	76673	21987
544	76809	21844
545	76884	21685
546	76975	21530
547	77036	21367
548	77153	21220
549	77260	21070
550	77388	20927
551	77486	20775
552	77533	20610
553	77583	20446
554	77620	20279
555	77661	20113
556	77747	19960
557	77846	19810
558	77942	19659
559	78083	19520
560	78204	19376
561	78304	19227
562	78402	19078
563	78460	18919
564	78512	18759
565	78591	18606
566	78684	18456
567	78772	18306
568	78864	18156
569	78933	18002
570	79007	17849
571	79087	17697
572	79183	17550
573	79278	17402
574	79337	17247
575	79418	17096
576	79522	16952
577	79614	16804
578	79753	16667
579	79841	16519
580	80008	16387
581	80084	16237
582	80147	16084
583	80182	15926
584	80248	15775
585	80322	15625
586	80384	15474
587	80411	15316
588	80445	15160
589	80481	15004
590	80553	14856
591	80597	14703
592	80678	14557
593	80765	14412
594	80842	14266
595	80960	14127
596	81047	13982
597	81145	13840
598	81242	13698
599	81380	13563
600	81486	13422
601	81592	13282
602	81675	13138
603	81753	12993
604	81950	12868
605	82139	12741
606	82357	12618
607	82524	12487
608	82641	12348
609	82759	12210
610	82936	12080
611	83067	11944
612	83169	11803
613	83271	11663
614	83329	11517
615	83409	11374
616	83478	11229
617	83586	11090
618	83705	10953
619	83750	10806
620	83855	10667
621	83941	10526
622	84085	10392
623	84125	10246
624	84216	10105
625	84309	9966
626	84458	9833
627	84503	9688
628	84621	9551
629	84665	9407
630	84748	9267
631	84845	9128
632	84930	8989
633	85039	8852
634	85149	8716
635	85229	8576
636	85294	8435
637	85360	8295
638	85410	8153
639	85481	8013
640	85606	7879
641	85686	7741
642	85778	7604
643	85846	7464
644	85930	7327
645	86016	7190
646	86082	7051
647	86144	6912
648	86196	6773
649	86218	6632
650	86246	6491
651	86266	6350
652	86336	6214
653	86367	6074
654	86401	5936
655	86445	5798
656	86491	5660
657	86522	5522
658	86540	5384
659	86571	5246
660	86657	5112
661	86750	4979
662	86801	4844
663	86874	4710
664	86926	4575
665	86999	4441
666	87061	4307
667	87226	4178
668	87343	4047
669	87425	3914
670	87508	3782
671	87574	3648
672	87629	3515
673	87705	3383
674	87778	3251
675	87899	3120
676	87961	2988
677	88039	2856
678	88109	2725
679	88167	2593
680	88215	2461
681	88258	2329
682	88304	2197
683	88331	2066
684	88365	1935
685	88403	1804
686	88465	1674
687	88553	1544
688	88586	1414
689	88661	1284
690	88678	1155
691	88692	1025
692	88710	896
693	88755	767
694	88776	638
695	88795	510
696	88810	382
697	88831	254
698	88857	127
699	88894	0
604	129
699	90636	0
