iter	RMSE
332	1.438589565
333	1.437569423
334	1.435821126
335	1.435431737
336	1.433890117
337	1.432585203
338	1.43224231
339	1.431778153
340	1.429003125
341	1.428486287
342	1.427293285
343	1.426074776
344	1.424269512
345	1.423249595
346	1.422016976
347	1.419160668
348	1.418713492
349	1.416436558
350	1.41517344
351	1.413646968
352	1.410798875
353	1.409518906
354	1.407128934
355	1.406022718
356	1.40456573
357	1.402921989
358	1.401001353
359	1.399590695
360	1.396618445
361	1.395134867
362	1.394770336
363	1.392610988
364	1.391152168
365	1.388830025
366	1.387571723
367	1.386141626
368	1.384444758
369	1.383209373
370	1.381427923
371	1.380528465
372	1.3802077
373	1.378786266
374	1.377343417
375	1.375260474
376	1.37387359
377	1.373373487
378	1.370935409
379	1.36808536
380	1.366111478
381	1.365304239
382	1.364683497
383	1.362552119
384	1.361301557
385	1.359848548
386	1.35810809
387	1.356603236
388	1.354312452
389	1.353660576
390	1.35230329
391	1.35129395
392	1.34901492
393	1.346306547
394	1.344995431
395	1.342918325
396	1.3405651
397	1.339752983
398	1.339473212
399	1.338381526
400	1.337120116
401	1.335535214
402	1.333628387
403	1.331343726
404	1.330914782
405	1.33031711
406	1.329368356
407	1.327772552
408	1.32669931
409	1.32639613
410	1.325155231
411	1.324100722
412	1.322405344
413	1.320253678
414	1.319679097
415	1.31939304
416	1.31724804
417	1.315452567
418	1.314159566
419	1.312274164
420	1.31075969
421	1.309008295
422	1.307811574
423	1.305753911
424	1.304210971
425	1.302289166
426	1.301705268
427	1.301205158
428	1.299393992
429	1.298036313
430	1.2974316
431	1.295458061
432	1.294465852
433	1.293723113
434	1.293361993
435	1.291238892
436	1.290242827
437	1.287315909
438	1.28685866
439	1.285058613
440	1.283275725
441	1.280926541
442	1.27988659
443	1.278460579
444	1.278211149
445	1.277524802
446	1.276068331
447	1.27494098
448	1.274095031
449	1.273387181
450	1.272045249
451	1.270925685
452	1.269144841
453	1.26848879
454	1.267467953
455	1.267027553
456	1.265295555
457	1.264290774
458	1.262848142
459	1.26152752
460	1.261125579
461	1.260853922
462	1.260574995
463	1.259517704
464	1.258847867
465	1.25753573
466	1.257334365
467	1.256851766
468	1.255273943
469	1.253442576
470	1.251360559
471	1.251123773
472	1.249972825
473	1.249613659
474	1.249297674
475	1.248161792
476	1.245169584
477	1.244904142
478	1.242831848
479	1.241296515
480	1.240869034
481	1.23963111
482	1.237423841
483	1.236385681
484	1.234931129
485	1.233200308
486	1.231860398
487	1.230559143
488	1.228670045
489	1.227468057
490	1.22537577
491	1.22426508
492	1.223041962
493	1.222404131
494	1.220366152
495	1.217900422
496	1.217610056
497	1.216161599
498	1.215223098
499	1.21449346
500	1.214013432
501	1.213448587
502	1.212015073
503	1.211653145
504	1.210298208
505	1.208968289
506	1.206967862
507	1.206728735
508	1.205206716
509	1.204354258
510	1.202902827
511	1.201536819
512	1.199740418
513	1.198302569
514	1.197172512
515	1.195255343
516	1.193956317
517	1.192761692
518	1.191208317
519	1.190527344
520	1.188912155
521	1.186619812
522	1.185360181
523	1.183979132
524	1.183019614
525	1.18142258
526	1.179983212
527	1.17915415
528	1.178578487
529	1.177336531
530	1.176067913
531	1.174843582
532	1.173013014
533	1.171820116
534	1.169540543
535	1.168131846
536	1.167282098
537	1.166032767
538	1.165768484
539	1.165398801
540	1.163039599
541	1.162371855
542	1.16092465
543	1.159818565
544	1.159325315
545	1.158829941
546	1.15735831
547	1.155939693
548	1.153915768
549	1.152186181
550	1.151407689
551	1.149839327
552	1.149224379
553	1.147501453
554	1.146484548
555	1.145726866
556	1.14500464
557	1.144435034
558	1.143728837
559	1.143407582
560	1.143086135
561	1.142030938
562	1.140755889
563	1.139655213
564	1.139368602
565	1.137958519
566	1.137350151
567	1.136718981
568	1.13616716
569	1.13431874
570	1.133825264
571	1.13224101
572	1.129128175
573	1.128839142
574	1.128388525
575	1.126731651
576	1.126514012
577	1.12505892
578	1.123539799
579	1.122714733
580	1.121833071
581	1.121402061
582	1.119854157
583	1.119290723
584	1.118429762
585	1.118144189
586	1.116819486
587	1.115062749
588	1.113685088
589	1.112168816
590	1.110879636
591	1.109229045
592	1.108449587
593	1.1069631
594	1.106140302
595	1.104431121
596	1.103146623
597	1.101312375
598	1.100191568
599	1.099218349
600	1.098910954
601	1.097736354
602	1.097451331
603	1.09607539
604	1.094361366
605	1.093414586
606	1.091288938
607	1.089965832
608	1.088854734
609	1.088389236
610	1.087883798
611	1.08739205
612	1.086638831
613	1.08641781
614	1.084800782
615	1.08341869
616	1.081857242
617	1.08095372
618	1.079893546
619	1.078697617
620	1.077316537
621	1.076871259
622	1.076109034
623	1.075433976
624	1.074110727
625	1.073480188
626	1.071236556
627	1.070241236
628	1.070087197
629	1.06828593
630	1.067566908
631	1.066157108
632	1.064787592
633	1.063472194
634	1.062224324
635	1.062032741
636	1.06072083
637	1.059788419
638	1.058287348
639	1.057014777
640	1.055771631
641	1.054313984
642	1.053499594
643	1.052406841
644	1.051589637
645	1.050380912
646	1.050097534
647	1.049293574
648	1.046404917
649	1.046061242
650	1.044323037
651	1.043358416
652	1.042814945
653	1.04212659
654	1.040840513
655	1.039947504
656	1.03856317
657	1.03838348
658	1.038101227
659	1.036097579
660	1.035116357
661	1.033067526
662	1.032800086
663	1.03189486
664	1.031105607
665	1.029449158
666	1.028536495
667	1.027222741
668	1.025865995
669	1.024722277
670	1.023868346
671	1.023022044
672	1.021785477
673	1.020442409
674	1.019281253
675	1.018452821
676	1.017158694
677	1.015382661
678	1.014512321
679	1.013411698
680	1.012019028
681	1.011148914
682	1.009350704
683	1.008883002
684	1.007702331
685	1.007529432
686	1.006538528
687	1.004990481
688	1.003720187
689	1.002507841
690	1.001332346
691	0.9995254785
692	0.9993132744
693	0.9991484122
694	0.9982225284
695	0.9971703771
696	0.9968184616
697	0.9963620973
698	0.9954853928
699	0.9940524482
1723814
698	0.9694642186
699	0.9690947384
88157751
698	0.9383027256
699	0.9374947477
